occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Entertainment and Show Business,,,,,,,,,,Benicio del Toro,https://en.wikipedia.org/wiki/Benicio_del_Toro,51,Puerto Rico,San Germn,,American,,,M,"['Actor', 'film producer']",
Entertainment and Show Business,,,,,,,,,,Russell Crowe,https://en.wikipedia.org/wiki/Russell_Crowe,54,New Zealand,Wellington,,New Zealand,,,M,"['Actor',  'film producer',  'musician']",
Entertainment and Show Business,,,,,,Orange County School of the Arts,Tisch School of the Arts,,,Pedro Pascal,https://en.wikipedia.org/wiki/Pedro_Pascal,43,Chile,Santiago,,American,"['Orange County School of the Arts', 'Tisch School of the Arts']",,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Gael García Bernal,https://en.wikipedia.org/wiki/Gael_Garc%C3%ADa_Bernal,39,Mexico,Jalisco,Guadalajara,Mexican,,,M,"['Actor', 'film director', 'model', 'film producer']",
Entertainment and Show Business,,,,,,Rutgers University,,,,Sebastian Stan,https://en.wikipedia.org/wiki/Sebastian_Stan,36,Romania,Constana,,American,['Rutgers University'],,M,['Actor'],
Entertainment and Show Business,,,,,,Drama Centre London,,,,Paul Bettany,https://en.wikipedia.org/wiki/Paul_Bettany,47,UK,London,,British,['Drama Centre London'],,F,['Actor'],
Entertainment and Show Business,,,,,,"Downing College,Cambridge",,,,John Cleese,https://en.wikipedia.org/wiki/John_Cleese,79,UK,Somerset,WestonsuperMare,British,"['Downing College, Cambridge']",,M,"['Actor', 'voice actor', 'comedian', 'screenwriter', 'producer']",
Entertainment and Show Business,,,,,,University of Toronto,York University,,,Scott Speedman,https://en.wikipedia.org/wiki/Scott_Speedman,43,UK,London,Hammersmith,British,"['University of Toronto', 'York University']",,F,['Actor'],
Entertainment and Show Business,Aylesbury Grammar School,University of Nottingham,Bristol Old Vic Theatre School,,,,,,,Theo James,https://en.wikipedia.org/wiki/Theo_James,33,UK,England,Oxford,British,,"['Aylesbury Grammar School', 'University of Nottingham', 'Bristol Old Vic Theatre School']",M,"['Actor', 'musician', 'model']",
Entertainment and Show Business,,,,,,New York University,,,,Cole Sprouse,https://en.wikipedia.org/wiki/Cole_Sprouse,26,Italy,Tuscany,Arezzo,American,['New York University'],,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Joel Kinnaman,https://en.wikipedia.org/wiki/Joel_Kinnaman,38,Sweden,Stockholm,,Swedish,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd42M,42,Sweden,Stockholm,,Swedish,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Johnny Galecki,https://en.wikipedia.org/wiki/Johnny_Galecki,43,Belgium,Bree,,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,58,Spain,Mlaga,,Spanish,,,M,"['Actor' 'producer', 'singer']",
