,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
1099,Chuck Schumer,https://en.wikipedia.org/wiki/Chuck_Schumer,67,U.S.,, ,,,"['Harvard University', 'BA', 'JD']",,Democratic
1100,Jon Bon Jovi,https://en.wikipedia.org/wiki/Jon_Bon_Jovi,56,U.S.,New Jersey,Perth Amboy,,,"['St. Joseph High School', 'Sayreville War Memorial High School']",['Singersongwriter  record producer  philanthropist  actor'],
1101,Daniel Kaluuya,https://en.wikipedia.org/wiki/Daniel_Kaluuya,29,England,London, ,,,,['Actor  writer'],
1102,Ricky Gervais,https://en.wikipedia.org/wiki/Ricky_Gervais,57,England,, ,,['University College London'],,,
1103,Matt Czuchry,https://en.wikipedia.org/wiki/Matt_Czuchry,41,U.S.,New Hampshire,Manchester,,"['College of Charleston', 'B.A.']",,['Actor'],
1104,Sharon Stone,https://en.wikipedia.org/wiki/Sharon_Stone,60,U.S.,Pennsylvania,Meadville,,,,"['Actress, model, film producer']",
1105,Rob Riggle,https://en.wikipedia.org/wiki/Rob_Riggle,48,U.S.,Kentucky,Louisville,,,['University of Kansas'],"['Actor, comedian,', 'retired U.S. Marine Officer']",
1106,J. K. Simmons,https://en.wikipedia.org/wiki/J._K._Simmons,63,U.S.,Michigan,Grosse Pointe,,['University of Montana'],,['Actor  voice actor'],
1107,Pete Holmes,https://en.wikipedia.org/wiki/Pete_Holmes,39,U.S.,, ,,['Gordon College'],,,
1108,James Corden,https://en.wikipedia.org/wiki/James_Corden,40,England,London,Hillingdon,,,['Holmer Green Upper School'],['Actor  comedian  television host'],
1109,Ann Curry,https://en.wikipedia.org/wiki/Ann_Curry,,U.S.,Guam, ,,['University of Oregon School of Journalism'],,['Journalist'],
1110,John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,,['University of Virginia'],['Sidwell Friends School'],['Journalist  television host'],
1111,Eugene Levy,https://en.wikipedia.org/wiki/Eugene_Levy,71,Canada,Ontario,Hamilton,Canadian,,,"['Actor, comedian, producer, director, writer']",
1112,Willem Dafoe,https://en.wikipedia.org/wiki/Willem_Dafoe,63,U.S.,Wisconsin,Appleton,,,,['Actor'],
1113,RuPaul,https://en.wikipedia.org/wiki/RuPaul,57,U.S.,California,San Diego,,,,['Drag performer   actor  model  singer  songwriter  television personality  author'],
1114,Roy Wood Jr.,https://en.wikipedia.org/wiki/Roy_Wood_Jr.,39,U.S.,Alabama,Birmingham,American,['Florida AampM University'],,"['Comedian', 'actor', 'disc jockey']",
1115,Gwyneth Paltrow,https://en.wikipedia.org/wiki/Gwyneth_Paltrow,46,U.S.,California,Los Angeles,,,,['Actress  singer  writer'],
1116,Ben McKenzie,https://en.wikipedia.org/wiki/Ben_McKenzie,40,U.S.,Texas,Austin,,"['University of Virginia', 'B.A.']","['Stephen F. Austin High School Austin, Texas']",['Actor  director'],
1117,Kyle MacLachlan,https://en.wikipedia.org/wiki/Kyle_MacLachlan,59,U.S.,Washington,Yakima,,['University of Washington'],,['Actor'],
1118,Deon Cole,https://en.wikipedia.org/wiki/Deon_Cole,46,U.S.,Chicago, ,,['Philander Smith College'],['Thornridge High School'],['Actor and Comedian'],
1119,Julie Chen,https://en.wikipedia.org/wiki/Julie_Chen,48,U.S.,New York City, ,,,['University of Southern California'],['Presenter  anchor  producer'],
1120,Joel Kinnaman,https://en.wikipedia.org/wiki/Joel_Kinnaman,38,Sweden,Stockholm, ,Swedish,,,['Actor'],
1121,Jon Favreau,https://en.wikipedia.org/wiki/Jon_Favreau_(speechwriter),37,U.S.,, ,,"['College of the Holy Cross', 'BA']",,,Democratic
1122,Jon Lovett,https://en.wikipedia.org/wiki/Jon_Lovett,,U.S.,, ,,['Williams College'],,['Speechwriter  writer  producer'],
1123,Tommy Vietor,https://en.wikipedia.org/wiki/Tommy_Vietor,38,US,, ,,['Kenyon College'],,['National Security Council  spokesperson  podcast host'],
1124,Jessica Williams,https://en.wikipedia.org/wiki/Jessica_Williams_(actress),29,U.S.  1,California,Los Angeles County,,"['California State University, Long Beach']",,"['Actress, comedian']",
1125,Phoebe Robinson,https://en.wikipedia.org/wiki/Phoebe_Robinson,34,United States, , ,,['Pratt Institute'],,,
1126,Rose McGowan,https://en.wikipedia.org/wiki/Rose_McGowan,45,Italy,Tuscany,Certaldo,,,,"['Actress', 'singer', 'director', 'author']",
1127,Rand Paul,https://en.wikipedia.org/wiki/Rand_Paul,55,U.S.,, ,,,"['Baylor University', 'Duke University', 'MD']",,Republican
1128,Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,44,U.S.,Kentucky,Lexington,,,,['Actor  musician'],
1129,Meghan McCain,https://en.wikipedia.org/wiki/Meghan_McCain,34,U.S.,Arizona,Phoenix,,['Columbia University'],,['Television host  author'],Republican
1130,Uma Thurman,https://en.wikipedia.org/wiki/Uma_Thurman,48,U.S.,Massachusetts,Boston,,,,['Actress  model'],
1131,Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,44,U.S.,Kentucky,Lexington,,,,['Actor  musician'],
1132,Claire Danes,https://en.wikipedia.org/wiki/Claire_Danes,39,U.S.,New York City, ,,,['Lyce Franais de Los Angeles'],['Actress'],
1133,Bernadette Peters,https://en.wikipedia.org/wiki/Bernadette_Peters,70,United States,New York,Queens,,,,"['Actress, singer, author']",
1134,Wanda Sykes,https://en.wikipedia.org/wiki/Wanda_Sykes,54,U.S.,Virginia,Portsmouth,,['Hampton University'],,['Actress  comedian  writer'],
1135,Thomas Haden Church,https://en.wikipedia.org/wiki/Thomas_Haden_Church,58,U.S.,California,Yolo,,['University of North Texas'],['Harlingen High School'],"['Actor, director, writer']",
1136,June Diane Raphael,https://en.wikipedia.org/wiki/June_Diane_Raphael,38,U.S.,New York,Rockville Centre,,['New York University'],,['Actress  comedian  writer'],
1137,John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,England,, ,,"['Christs College, Cambridge']",,,
1138,Beanie Feldstein,https://en.wikipedia.org/wiki/Beanie_Feldstein,25,U.S.,California,Los Angeles,,['Wesleyan University'],['HarvardWestlake School'],['Actress'],
1139,Joel McHale,https://en.wikipedia.org/wiki/Joel_McHale,46,Italy,Rome, ,American,['University of Washington'],,['Comedian  actor  writer  producer  television host'],
1140,Yara Shahidi,https://en.wikipedia.org/wiki/Yara_Shahidi,18,U.S.,Minnesota,Minneapolis,,,,['actress  model  activist'],
1141,John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,England,, ,,"['Christs College, Cambridge']",,,
1142,Nathan Lane,https://en.wikipedia.org/wiki/Nathan_Lane,62,U.S.,New Jersey,Jersey City,,,,"['Actor, writer']",
1143,Senator Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,51,U.S.,, ,American,,"['Dartmouth College', 'BA', 'University of California, Los Angeles', 'JD']",,Democratic
1144,Chris Gethard,https://en.wikipedia.org/wiki/Chris_Gethard,38,New Jersey   1,West Orange, ,,,,"['Actor, comedian, writer']",
1145,Sam Rockwell,https://en.wikipedia.org/wiki/Sam_Rockwell,49,U.S.,California,San Mateo County,,['Ruth Asawa San Francisco School of the Arts'],,['Actor'],
1146,J. J. Abrams,https://en.wikipedia.org/wiki/J._J._Abrams,52,U.S.,New York,New York City,,['Sarah Lawrence College'],['Palisades Charter High School'],"['Film director, producer, screenwriter, composer']",
1147,Christine Baranski,https://en.wikipedia.org/wiki/Christine_Baranski,66,U.S.,New York,Buffalo,,,"['Juilliard School', 'BFA']",['Actress  singer  producer'],
1148,Constance Zimmer,https://en.wikipedia.org/wiki/Constance_Zimmer,48,U.S.,Washington,Seattle,,['American Academy of Dramatic Arts'],,['Actress'],
1149,Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,28,U.S.,Kentucky,Indian Hills,,,,['Actress'],
1150,Patton Oswalt,https://en.wikipedia.org/wiki/Patton_Oswalt,49,U.S.,, ,,['College of William amp Mary'],,,
1151,Kiefer Sutherland,https://en.wikipedia.org/wiki/Kiefer_Sutherland,51,England,London, ,,,,['Actor  film director  film producer  singersongwriter'],
1152,Zoe Lister-Jones,https://en.wikipedia.org/wiki/Zoe_Lister-Jones,36,U.S.,New York,New York City,American,['New York University'],,"['Actress, producer, director, writer']",
1153,John McWhorter,https://en.wikipedia.org/wiki/John_McWhorter,53,U.S.,Pennsylvania,Philadelphia,,"[['Simons Rock College', 'AA', 'Rutgers University', 'BA', 'New York University', 'MA', 'Stanford University', 'PhD']]",['Friends Select School'],,
1154,Donald Glover,https://en.wikipedia.org/wiki/Donald_Glover,35,U.S.,California,Edwards Air Force Base,,['New York University'],['DeKalb School of the Arts'],['Actor  comedian  singer  writer  producer  director  rapper  songwriter  DJ'],
1155,Omarosa Manigault,https://en.wikipedia.org/wiki/Omarosa_Manigault,44,U.S.,, ,,"[['Central State University', 'Howard University  MA']]",,,Democratic
1156,Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,63,U.S.,Georgia,Clarke County,,,,['Actor  musician  playwright'],
1157,Krysten Ritter,https://en.wikipedia.org/wiki/Krysten_Ritter,36,U.S.,Pennsylvania,Bloomsburg,,,,['Actress  musician  model'],
1158,Steve Buscemi,https://en.wikipedia.org/wiki/Steve_Buscemi,60,U.S.,New York City, ,,,,['Actor  director'],
1159,Sebastian Maniscalco,https://en.wikipedia.org/wiki/Sebastian_Maniscalco,45,U.S.,, ,American,,,,
1160,David Oyelowo,https://en.wikipedia.org/wiki/David_Oyelowo,42,England,Oxfordshire,Oxford,British,['London Academy of Music and Dramatic Art'],['City and Islington College'],"['Actor, producer']",
1161,Chelsea Clinton,https://en.wikipedia.org/wiki/Chelsea_Clinton,38,U.S,Arkansas,Little Rock,,,"['Stanford University', 'BA', 'University College, Oxford', 'MPhil', 'DPhil', 'Columbia University', 'MPH', 'New York University']",,Democratic
1162,Martha Stewart,https://en.wikipedia.org/wiki/Martha_Stewart,77,U.S.,New Jersey,Jersey City,,['Barnard College'],,"['Businesswoman, writer, television personality']",
1163,Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey,64,U.S.,Mississippi,Kosciusko,,['Tennessee State University'],,"['Host of   The Oprah Winfrey Show   19862011  Chairwoman and CEO of  Harpo Productions  1986present  Chairwoman, CEO and CCO of the  Oprah Winfrey Network  2011present  Actress  2', 'Author']",Democratic
1164,Justin Hartley,https://en.wikipedia.org/wiki/Justin_Hartley,41,U.S.,Illinois,Knoxville,,,,['Actor'],
1165,Reese Witherspoon,https://en.wikipedia.org/wiki/Reese_Witherspoon,42,U.S.,Louisiana,New Orleans,,,,"['Actress, producer, entrepreneur']",
1166,Adam Rippon,https://en.wikipedia.org/wiki/Adam_Rippon,28,United States,Pennsylvania,Scranton,,,,,
1167,Mindy Kaling,https://en.wikipedia.org/wiki/Mindy_Kaling,39,U.S.,Massachusetts,Cambridge,,['Dartmouth College'],['Buckingham Browne amp Nichols'],"['Actress, comedian, writer']",
1168,Chris Hayes,https://en.wikipedia.org/wiki/Chris_Hayes,39,U.S.,New York City, ,,['Brown University'],,"['Political commentator, journalist']",
1169,Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,73,England,London,Hammersmith,,['New College of Speech and Drama'],,['Actor'],
1170,David Byrne,https://en.wikipedia.org/wiki/David_Byrne,66,U.K.,Scotland,,,,,,
1171,Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady,,,,,,,,,
1172,Angela Bassett,https://en.wikipedia.org/wiki/Angela_Bassett,60,U.S.,New York,New York City,,"['Yale University', 'BA', 'MFA']",,['Actress'],
1173,Jimmy O. Yang,https://en.wikipedia.org/wiki/Jimmy_O._Yang,31,Hong Kong, , ,,"['University of California, San Diego']",,,
1174,Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,51,U.S.,Connecticut,New Haven,,"['Yale University', 'BA ,  MFA']",,"['Actor, producer']",
1175,Sean Bean,https://en.wikipedia.org/wiki/Sean_Bean,59,England,West Riding of Yorkshire,Handsworth,,,,['Actor'],
1176,Drew Barrymore,https://en.wikipedia.org/wiki/Drew_Barrymore,43,U.S.,California,Culver City,,,,['Actress  producer  director  author  model  entrepreneur'],
1177,Adam DeVine,https://en.wikipedia.org/wiki/Adam_DeVine,34,U.S.,Iowa,Waterloo,,,,['Actor  comedian  singer  screenwriter  producer'],
1178,Hilary Swank,https://en.wikipedia.org/wiki/Hilary_Swank,44,U.S.,Nebraska,Lincoln,,,,['Actress  producer'],
1179,Thomas Middleditch,https://en.wikipedia.org/wiki/Thomas_Middleditch,36,Canada,British Columbia,Nelson,,['University of Victoria'],,['Actor  screenwriter'],
1180,Keri Russell,https://en.wikipedia.org/wiki/Keri_Russell,42,United States,California,Fountain Valley,,,,"['Actress, dancer']",
1181,Matthew Rhys,https://en.wikipedia.org/wiki/Matthew_Rhys,43,Wales,Cardiff, ,,['Royal Academy of Dramatic Art'],,['Actor'],
1182,Mindy Kaling,https://en.wikipedia.org/wiki/Mindy_Kaling,39,U.S.,Massachusetts,Cambridge,,['Dartmouth College'],['Buckingham Browne amp Nichols'],"['Actress, comedian, writer']",
1183,Sean Penn,https://en.wikipedia.org/wiki/Sean_Penn,58,U.S.,California,Santa Monica,,,,"['Actor, filmmaker']",Democratic
1184,Sara Gilbert,https://en.wikipedia.org/wiki/Sara_Gilbert,43,U.S.,California,Santa Monica,,['Yale University'],,['Actress'],
1185,Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee,,Canada,Ontario,1969  age49   Toronto,,['University of Ottawa'],,,
1186,Leslie Odom Jr.,https://en.wikipedia.org/wiki/Leslie_Odom_Jr.,37,U.S.,New York City,Queens,,,['Carnegie Mellon University'],"['Actor, singer']",
1187,Tom Segura,https://en.wikipedia.org/wiki/Tom_Segura,39,U.S.,, ,American,,,,
1188,Dana Carvey,https://en.wikipedia.org/wiki/Dana_Carvey,63,U.S.,, ,American,['San Francisco State University'],,,
1189,Simon Pegg,https://en.wikipedia.org/wiki/Simon_Pegg,48,United Kingdom,England,Gloucestershire,,,,"['Actor', 'comedian', 'screenwriter', 'producer']",
1190,Emily Blunt,https://en.wikipedia.org/wiki/Emily_Blunt,35,England,London,Wandsworth,English,,,['Actress'],
1191,John Heilemann,https://en.wikipedia.org/wiki/John_Heilemann,52,California  1,Los Angeles, ,United States of America,"['Northwestern University', 'Harvard University']",,"['Journalist', 'Anchor']",
1192,Alex Wagner,https://en.wikipedia.org/wiki/Alex_Wagner,40,U.S.,D.C.,Washington,,['Brown University'],,['Television host  author'],
1193,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,,['Los Angeles Valley College'],,"['Actor, producer, director, screenwriter']",
1194,Jimmy Carter,https://en.wikipedia.org/wiki/Jimmy_Carter,94,U.S.,, ,,"['Georgia Institute of Technology', 'United States Naval Academy', 'B.S.']",,,Democratic
1195,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,,,['Towson University'],['William Esper Studio'],,
1196,Madeleine Albright,https://en.wikipedia.org/wiki/Madeleine_Albright,81,Czech Republic, , ,,,"['Wellesley College', 'BA', 'Johns Hopkins University', 'Columbia University   MA ,  PhD']",,Democratic
1197,James Spader,https://en.wikipedia.org/wiki/James_Spader,58,U.S.,Massachusetts,Boston,,,,['Actor'],
1198,Katie Couric,https://en.wikipedia.org/wiki/Katie_Couric,61,U.S.,Virginia,Arlington,,['University of Virginia'],,['Journalist'],
1199,Louie Anderson,https://en.wikipedia.org/wiki/Louie_Anderson,65,U.S.,Minnesota,Saint Paul,,,,"['Actor, comedian, game show host, author']",
1200,Martin Short,https://en.wikipedia.org/wiki/Martin_Short,68,Canada,, ,Canadian American,['McMaster University'],,,
1201,Aisha Tyler,https://en.wikipedia.org/wiki/Aisha_Tyler,48,U.S.,California,San Francisco,,"['Dartmouth College', '1992']",,"['Talk show host, actress, comedian, author, producer, writer, director']",
1202,Diane Sawyer,https://en.wikipedia.org/wiki/Diane_Sawyer,72,U.S.,Kentucky,Glasgow,,['Wellesley College'],,['Television journalist'],
1203,Joshua Jackson,https://en.wikipedia.org/wiki/Joshua_Jackson,40,Canada,British Columbia,Vancouver,Canadian,,,['Actor'],
1204,Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza,,U.S.,Delaware,Wilmington,,['New York University'],,"['Actress, comedian, producer']",
1205,John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,,['University of Virginia'],['Sidwell Friends School'],['Journalist  television host'],
1206,Charlamagne tha God,https://en.wikipedia.org/wiki/Charlamagne_tha_God,40,U.S.,, ,,,,,
1207,Nell Scovell,https://en.wikipedia.org/wiki/Nell_Scovell,57,Massachusetts,Newton, ,,['Harvard University'],,"['Journalist, writer, producer']",
1208,James Comey,https://en.wikipedia.org/wiki/James_Comey,57,U.S.,, ,,,"['College of William and Mary', 'BS', 'University of Chicago', 'JD']",,Independent
1209,Cynthia Nixon,https://en.wikipedia.org/wiki/Cynthia_Nixon,52,U.S.,New York City, ,,,"['Barnard College', 'BA', 'Hunter College High School']",['Actress'],Democratic
1210,Alan Cumming,https://en.wikipedia.org/wiki/Alan_Cumming,53,Scotland,Perthshire,Aberfeldy,,['Royal Scottish Academy of Music and Drama'],,"['Actor, singer, director, producer, writer, activist']",
1211,Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,58,Spain,Mlaga, ,Spanish,,,"['Actor, producer, singer']",
1212,Kamala Harris,https://en.wikipedia.org/wiki/Kamala_Harris,54,U.S.,, ,,,"['Howard University', 'BA', 'University of California, Hastings', 'JD']",,Democratic
1213,James Marsden,https://en.wikipedia.org/wiki/James_Marsden,45,U.S.,Oklahoma,Stillwater,American,,,['Actor  singer  model'],
1214,Coyote Peterson,https://en.wikipedia.org/wiki/Coyote_Peterson,38,U.S.A.,Ohio,Newbury,American,,['Ohio State University'],"['Wildlife educator,', 'Youtube personality', ', Producer, Show host, Author']",
1215,Jeffrey Wright,https://en.wikipedia.org/wiki/Jeffrey_Wright,52,U.S.,D.C.,Washington,,"['Amherst College', 'New York University']",,['Actor'],
1216,Ali Wentworth,https://en.wikipedia.org/wiki/Ali_Wentworth,53,U.S.,D.C.,Washington,American,,,"['Actress, comedian, author, producer']",
1217,Hank Azaria,https://en.wikipedia.org/wiki/Hank_Azaria,54,U.S.,New York City,Queens,American,,,"['Actor, voice actor, comedian, producer']",
1218,Ronan Farrow,https://en.wikipedia.org/wiki/Ronan_Farrow,30,U.S.,New York City, ,,"['Bard College', 'Yale University']",,['Journalist  lawyer'],
1219,Lucy Liu,https://en.wikipedia.org/wiki/Lucy_Liu,49,U.S.,New York City,Queens,American,['University of Michigan'],"['Stuyvesant High School', '1']","['Actress, voice actress, director, artist']",
1220,Henry Winkler,https://en.wikipedia.org/wiki/Henry_Winkler,72,U.S.,New York,Manhattan,,,"['Emerson College', 'BA', 'Yale University', 'MFA']","['Actor, director, comedian, producer, author']",
1221,Rachel Weisz,https://en.wikipedia.org/wiki/Rachel_Weisz,48,England,London,Westminster,,"['Trinity Hall, Cambridge']",,['Actress  fashion model'],
1222,Ann Dowd,https://en.wikipedia.org/wiki/Ann_Dowd,62,U.S.,Massachusetts,Holyoke,,,,['Actress'],
1223,Mandy Patinkin,https://en.wikipedia.org/wiki/Mandy_Patinkin,65,U.S.,Illinois,Chicago,,,"['University of Kansas, Lawrence', 'Juilliard School']","['Actor, singer']",
1224,H. Jon Benjamin,https://en.wikipedia.org/wiki/H._Jon_Benjamin,52,U.S.,, ,American,,,,
1225,David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny,58,U.S.,New York, ,,"['Princeton University', 'Yale University']",,"['Actor, director, producer, writer, singersongwriter']",
1226,Margaret Brennan,https://en.wikipedia.org/wiki/Margaret_Brennan,38,U.S.,Connecticut,Stamford,,,"['University of Virginia', 'BA']",,
1227,Robert Smigel,https://en.wikipedia.org/wiki/Robert_Smigel,58,U.S, , ,,,,,
1228,Helen Hunt,https://en.wikipedia.org/wiki/Helen_Hunt,55,U.S.,California,Culver City,,,,"['Actress, director, screenwriter']",
1229,Kevin Smith,https://en.wikipedia.org/wiki/Kevin_Smith,48,U.S.,New Jersey,Red Bank,,,,"['Filmmaker', 'actor', 'comedian', 'public speaker', 'comic book writer', 'author', 'podcaster']",
1230,Jim Gaffigan,https://en.wikipedia.org/wiki/Jim_Gaffigan,52,U.S.,, ,,['Georgetown University'],['La Lumiere School'],,
1231,Michael Avenatti,https://en.wikipedia.org/wiki/Michael_Avenatti,47,U.S.,California,Sacramento,,,"['Saint Louis University', 'University of Pennsylvania', 'BA', 'George Washington University', 'JD']",['Attorney'],Democratic
1232,David Chang,https://en.wikipedia.org/wiki/David_Chang,41,U.S.,Virginia,Vienna,,,"['Georgetown Prep', 'Trinity College, Hartford', 'French Culinary Institute']",,
1233,Charlize Theron,https://en.wikipedia.org/wiki/Charlize_Theron,43,South Africa,Benoni, ,,,,['Actress  producer'],
1234,Ron Howard,https://en.wikipedia.org/wiki/Ron_Howard,64,U.S.,Oklahoma,Duncan,,['University of Southern California'],,"['Actor, filmmaker']",
1235,Chris O'Donnell,https://en.wikipedia.org/wiki/Chris_O%27Donnell,48,U.S.,Illinois,Winnetka,,['Boston College'],['Bachelor of Science'],['Actor'],
1236,Jack White,https://en.wikipedia.org/wiki/Jack_White,43,U.S.,Michigan,Detroit,,,['Cass Technical High School'],['Singer  songwriter'],
1237,Jim Parsons,https://en.wikipedia.org/wiki/Jim_Parsons,45,U.S.,Texas,Houston,,"['University of Houston', 'University of San Diego']",,['Actor'],
1238,Alexis Ohanian,https://en.wikipedia.org/wiki/Alexis_Ohanian,35,U.S.,New York City, ,,['University of Virginia'],,['Entrepreneur  venture capitalist  investor'],
1239,Michael B. Jordan,https://en.wikipedia.org/wiki/Michael_B._Jordan,31,U.S.  1,California,Santa Ana,,,,['Actor'],
1240,Matt Walsh,https://en.wikipedia.org/wiki/Matt_Walsh_(comedian),54,U.S.,Illinois,Chicago,,,,"['Actor, comedian, director, writer']",
1241,Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,,,,['Broadcast journalist  Magazine editor'],
1242,Anna Wintour,https://en.wikipedia.org/wiki/Anna_Wintour,68,England,London,Hampstead,British,,['North London Collegiate School'],"['Magazine editor, fashion journalist']",
1243,Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,60,U.S.,Kansas,Topeka,,"[['San Diego Mesa College', 'San Francisco State University']]",,['Actress'],
1244,Wyatt Cenac,https://en.wikipedia.org/wiki/Wyatt_Cenac,42,U.S.,New York,New York City,,['University of North Carolina'],,['Actor  comedian  writer  producer'],
1245,Melissa McCarthy,https://en.wikipedia.org/wiki/Melissa_McCarthy,48,U.S.,Illinois,Plainfield,,,,['Actress  comedian  writer  producer  fashion designer'],
1246,Mayim Bialik,https://en.wikipedia.org/wiki/Mayim_Bialik,42,U.S.,California,San Diego,,"['University of California, Los Angeles', 'BS ,  PhD']",,"['Actress, neuroscientist, author']",
1247,Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
1248,Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,82,England,, ,,['Royal Academy of Dramatic Art'],,"['Actress', '19551992, 2016', 'Politician', '19922015']",Labour
1249,Michael Pollan,https://en.wikipedia.org/wiki/Michael_Pollan,63,U.S.,New York,Long Island,,"[['Bennington College', 'Columbia University']]",,"['Author', 'journalist', 'professor']",
1250,Jamie Foxx,https://en.wikipedia.org/wiki/Jamie_Foxx,50,U.S.,Texas,Terrell,,['Alliant International University'],,"['Actor', 'singer   songwriter   record producer   comedian']",
1251,Chadwick Boseman,https://en.wikipedia.org/wiki/Chadwick_Boseman,40,U.S.,South Carolina,Anderson,,"['Howard University', ', B.F.A. 2000', 'British American Drama Academy', 'Digital Film Academy']",,"['Actor, director, producer']",
1252,Jake Tapper,https://en.wikipedia.org/wiki/Jake_Tapper,49,U.S.,New York,New York City,American,['Dartmouth College'],,['Journalist'],Independent
1253,Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,42,England,London,Hammersmith,,"[['Victoria University of Manchester', 'London Academy of Music and Dramatic Art']]","['Brambletye School', 'Harrow School']",['Actor'],
1254,Zachary Quinto,https://en.wikipedia.org/wiki/Zachary_Quinto,41,U.S.,Pennsylvania,Pittsburgh,,['Carnegie Mellon University'],,['Actor  producer'],
1255,Vanessa Bayer,https://en.wikipedia.org/wiki/Vanessa_Bayer,36,U.S.,Ohio,Cleveland,,,['University of Pennsylvania'],"['Actress', 'Comedian']",
1256,Dean Baquet,https://en.wikipedia.org/wiki/Dean_Baquet,62,U.S.,Louisiana,New Orleans,,,,"['Executive editor', 'The New York Times']",
1257,Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,35,U.S.,California,Los Angeles,,"['Royal Central School of Speech amp Drama', '1']",,['Actor'],
1258,David Cross,https://en.wikipedia.org/wiki/David_Cross,54,U.S.,, ,,,,,
1259,Jason Bateman,https://en.wikipedia.org/wiki/Jason_Bateman,49,U.S.,New York,Rye,,,,['Actor  director  producer'],
1260,Stephen King,https://en.wikipedia.org/wiki/Stephen_King,71,U.S.,, ,,['University of Maine'],,['Writer  actor  television producer  singer  musician'],
1261,Anne Hathaway,https://en.wikipedia.org/wiki/Anne_Hathaway,35,U.S.,New York City, ,,['New York University'],,"['Actress, singer']",
1262,David Sedaris,https://en.wikipedia.org/wiki/David_Sedaris,61,U.S.,, ,American,"['Western Carolina University', 'School of the Art Institute of Chicago']",,,
1263,Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,47,U.S.,Texas,Austin,,,,['Actor  director  screenwriter  novelist'],
1264,Toni Collette,https://en.wikipedia.org/wiki/Toni_Collette,45,Australia,New South Wales,Glebe,,"['National Institute of Dramatic Art', 'Australian Theatre for Young People']",,['Actress  singer  musician'],
1265,Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,72,U.S.,, ,,,"['Georgetown University', 'BS', 'University College, Oxford', 'Yale Law School', 'JD']",,Democratic
1266,James Patterson,https://en.wikipedia.org/wiki/James_Patterson,71,US,, ,American,"['Manhattan College', 'Vanderbilt University']",,,
1267,Tig Notaro,https://en.wikipedia.org/wiki/Tig_Notaro,47,U.S.,, ,,,,,
1268,Mandy Moore,https://en.wikipedia.org/wiki/Mandy_Moore,34,U.S.,New Hampshire,Nashua,,,,['Singersongwriter  actress'],
1269,Sara Bareilles,https://en.wikipedia.org/wiki/Sara_Bareilles,38,U.S.,California,Eureka,,"['University of California, Los Angeles']",,"['Singersongwriter', 'actress']",
1270,Josh Groban,https://en.wikipedia.org/wiki/Josh_Groban,37,U.S.,, ,,,,,
1271,Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman,48,U.S.,Illinois,Minooka,,['University of Illinois at UrbanaChampaign'],,['Actor  writer   carpenter'],
1272,Niecy Nash,https://en.wikipedia.org/wiki/Niecy_Nash,48,U.S.  1,California,Compton,American,"['California State University, Dominguez Hills']",,"['Actress, comedian, television host, model, producer']",
1273,Jeff Glor,https://en.wikipedia.org/wiki/Jeff_Glor,43,U.S.,New York,Buffalo,,,,['Journalist  correspondent  news anchor'],
1274,David Koechner,https://en.wikipedia.org/wiki/David_Koechner,56,U.S.,Missouri,Tipton,,,,"['Actor, comedian']",
1275,Chris Matthews,https://en.wikipedia.org/wiki/Chris_Matthews,72,U.S.,Pennsylvania,Philadelphia,,,"['College of the Holy Cross', 'BA', 'University of North Carolina, Chapel Hill']",['News anchor political commentator'],Democratic
