,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
776,Tommy Vietor,https://en.wikipedia.org/wiki/Tommy_Vietor,38,US,, ,,['Kenyon College'],,['National Security Council  spokesperson  podcast host'],
777,Jessica Lange,https://en.wikipedia.org/wiki/Jessica_Lange,69,U.S.,Minnesota,Cloquet,,,,['Actress  photographer'],
778,Kadeem Hardison,https://en.wikipedia.org/wiki/Kadeem_Hardison,53,U.S.,New York,Brooklyn,American,,,['Actor'],
779,Judy Gold,https://en.wikipedia.org/wiki/Judy_Gold,55,U.S.,New Jersey,Newark,,,,['Standup comedian'],
780,Mandy Patinkin,https://en.wikipedia.org/wiki/Mandy_Patinkin,65,U.S.,Illinois,Chicago,,,"['University of Kansas, Lawrence', 'Juilliard School']","['Actor, singer']",
781,Zosia Mamet,https://en.wikipedia.org/wiki/Zosia_Mamet,30,U.S.,Vermont,Randolph,,,,['Actress  musician'],
782,Jerrod Carmichael,https://en.wikipedia.org/wiki/Jerrod_Carmichael,31,U.S.,North Carolina,WinstonSalem,,,,['Comedian  writer  actor'],
783,Jennifer Hudson,https://en.wikipedia.org/wiki/Jennifer_Hudson,37,U.S.,Illinois,Chicago,,['Langston University'],"['Dunbar Vocational High School', 'KennedyKing College']",['Singer  actress'],
784,Chris Hayes,https://en.wikipedia.org/wiki/Chris_Matthews,72,U.S.,Pennsylvania,Philadelphia,,,"['College of the Holy Cross', 'BA', 'University of North Carolina, Chapel Hill']",['News anchor political commentator'],Democratic
785,Christian Borle,https://en.wikipedia.org/wiki/Christian_Borle,45,U.S.,Pennsylvania,Pittsburgh,,"['Carnegie Mellon University', '1995']",,"['Actor, singer, dancer']",
786,Alec Baldwin,https://en.wikipedia.org/wiki/Alec_Baldwin,60,U.S.,New York,Amityville,,"[['New York University', 'George Washington University']]",,"['Actor, writer, comedian, producer']",Democratic
787,Charlamagne tha God,https://en.wikipedia.org/wiki/Charlamagne_tha_God,40,U.S.,, ,,,,,
788,Rose Byrne,https://en.wikipedia.org/wiki/Rose_Byrne,39,Australia,New South Wales,Balmain,,,"['University of Sydney', 'Atlantic Theater Company']",['Actress'],
789,Lewis Black,https://en.wikipedia.org/wiki/Lewis_Black,70,D.C.,Washington, ,American,,"['University of Maryland, College Park', 'University of North Carolina, Chapel Hill', 'BA', 'Yale University', 'MFA']",,
790,Elisabeth Moss,https://en.wikipedia.org/wiki/Elisabeth_Moss,36,U.S.,California,Los Angeles,,,,['Actor'],
791,Anthony Atamanuik,https://en.wikipedia.org/wiki/Anthony_Atamanuik,44,age44, , ,,"['Emerson College', '2']",,"['Comedian, actor and writer']",
792,Rosario Dawson,https://en.wikipedia.org/wiki/Rosario_Dawson,39,U.S.,New York,New York City,American,,,['Actress  producer  writer'],
793,Renée Elise Goldsberry,https://en.wikipedia.org/wiki/Ren%C3%A9e_Elise_Goldsberry,47,U.S.,California,San Jose,,"['Carnegie Mellon University', 'University of Southern California']",,['Actress  singer  songwriter'],
794,Moshe Kasher,https://en.wikipedia.org/wiki/Moshe_Kasher,39,U.S.,, ,American,,"['University of California, Santa Barbara']",,
795,Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,,,"['Kenyon College', 'BA']",['Actress'],
796,Sheryl Sandberg,https://en.wikipedia.org/wiki/Sheryl_Sandberg,49,U.S.,D.C.,Washington,,"['Harvard College', 'A.B.', 'Harvard Business School', 'M.B.A.']",,"['COO', 'of', 'Facebook']",Democratic
797,John Legend,https://en.wikipedia.org/wiki/John_Legend,39,U.S.,Ohio,Springfield,,['University of Pennsylvania'],,['Singer  songwriter  musician  actor'],
798,Kelly Osbourne,https://en.wikipedia.org/wiki/Kelly_Osbourne,33,England,London,City of Westminster,,,,['Singersongwriter  actress  author  television personality  model  fashion designer'],
799,America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,,['University of Southern California'],,"['Actress, voice actress']",
800,Thomas Middleditch,https://en.wikipedia.org/wiki/Thomas_Middleditch,36,Canada,British Columbia,Nelson,,['University of Victoria'],,['Actor  screenwriter'],
801,Dave,https://en.wikipedia.org/wiki/Dave_Grohl,49,U.S.,, ,,,,,
802,LL Cool J,https://en.wikipedia.org/wiki/LL_Cool_J,50,U.S.,, ,,,,,
803,Phillipa Soo,https://en.wikipedia.org/wiki/Phillipa_Soo,28,U.S.,Illinois,Libertyville,,,"['Juilliard School', 'BFA']","['Actress', 'singer']",
804,Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,62,U.S.,California,Concord,,"['Chabot College', 'California State University, Sacramento', 'BFA']",,"['Actor, filmmaker']",Democratic
805,Anna Baryshnikov,https://en.wikipedia.org/wiki/Anna_Baryshnikov,26,age26, , ,,['Northwestern University'],,['Actress'],
806,Chris Pratt,https://en.wikipedia.org/wiki/Chris_Pratt,39,U.S.,Minnesota,Virginia,,,,['Actor'],
807,Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,60,U.S.,New York City,Manhattan,,"[['Harvard College', 'BA', 'University of Texas at Austin', 'MA', 'Columbia University', 'MPhil ,  PhD']]",,,
808,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,,,['Towson University'],['William Esper Studio'],,
809,Gabourey Sidibe,https://en.wikipedia.org/wiki/Gabourey_Sidibe,35,U.S.,New York City, ,,['Manhattan Community College'],,['Actress'],
810,Jim Parsons,https://en.wikipedia.org/wiki/Jim_Parsons,45,U.S.,Texas,Houston,,"['University of Houston', 'University of San Diego']",,['Actor'],
