name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Joe Walsh,https://en.wikipedia.org/wiki/Joe_Walsh,70,U.S.,Kansas, Wichita,American,,,M,['Singer'],
Elizabeth Olsen,https://en.wikipedia.org/wiki/Elizabeth_Olsen,29,U.S.,California,Sherman Oaks,American,['New York University'],['Campbell Hall School'],F,['Actress'],
Al Franken,https://en.wikipedia.org/wiki/Al_Franken,67,U.S.,New York,New York City,American,,['Harvard University'],M,['Senator'],DemocraticFarmerLabor
Laura Dern,https://en.wikipedia.org/wiki/Laura_Dern,51,U.S.,California,Los Angeles,American,,,F,"['Actress', 'activist', 'director', 'producer']",
Leah Remini,https://en.wikipedia.org/wiki/Leah_Remini,48,U.S.,New York,New York City,American,,,F,"['Actress', 'singer', 'writer', 'activist', 'model']",
Christoph Waltz,https://en.wikipedia.org/wiki/Christoph_Waltz,62,Austria,Vienna, ,Austrian,['Max Reinhardt Seminar'],,M,"['Actor', 'director', 'voice actor']",
Chris O'Dowd,https://en.wikipedia.org/wiki/Chris_O%27Dowd,39,Ireland,County Roscommon,Boyle,Irish,['London Academy of Music and Dramatic Art'],,M,['Actor'],
Sean Evans,https://en.wikipedia.org/wiki/Sean_Evans_(interviewer),32,U.S,Illinois, Evanston,American,['University of Illinois'],['Broadcast Journalism major'],M,['Interviewer'],
Robert Pattinson,https://en.wikipedia.org/wiki/Robert_Pattinson,32,U.K.,London,Barnes,British,,,M,"['Actor', 'musician']",
Niecy Nash,https://en.wikipedia.org/wiki/Niecy_Nash,48,U.S.,California,Compton,American,['California State University'],,F,"['Actress', 'comedian', 'television host', 'model', 'producer']",
Jim Jefferies,https://en.wikipedia.org/wiki/Jeff_Bridges,68,U.S.,California,Los Angeles,American,,,M,"['Actor', 'singer', 'producer', 'composer']",
Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,New York, Port Washington,American,,"['Tufts University', 'Harvard University']",M,['White House Communications Director'],Republican
Tiffany Haddish,https://en.wikipedia.org/wiki/Tiffany_Haddish,38,U.S.,California, Los Angeles,American,,,F,['Actress'],
Andrew Dice Clay,https://en.wikipedia.org/wiki/Andrew_Dice_Clay,61,U.S.,New York,New York City,American,,,M,['Stand-up Comedian'],
Peter Serafinowicz,https://en.wikipedia.org/wiki/Peter_Serafinowicz,46,U.K.,Liverpool, ,British,,,M,"['Actor', 'voice actor', 'comedian', 'writer']",
Michael Rapaport,https://en.wikipedia.org/wiki/Michael_Rapaport,48,U.S.,New York,New York City,American,,,M,"['Actor', 'Director', 'Podcast host', 'Comedian']",
Maggie Gyllenhaal,https://en.wikipedia.org/wiki/Maggie_Gyllenhaal,40,U.S.,New York,New York City,American,"['Columbia University', 'Royal Academy of Dramatic Art']",,F,['Actress'],
Graham Norton,https://en.wikipedia.org/wiki/Graham_Norton,55,U.K.,Cork,Bandon,British,,,M,"['Presenter', 'comedian', 'actor', 'writer',  'commentator']",
Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,51,U.S.,California,San Francisco,American,,"['Hampshire College',  'Yale University']",M,"['Actor', 'director', 'screenwriter', 'producer']",
Joe Buck,https://en.wikipedia.org/wiki/Joe_Buck,49,U.S. ,Florida,St. Petersburg,American,,['Indiana University Bloomington'],M,['Sports commentator'],
Sonequa Martin-Green,https://en.wikipedia.org/wiki/Sonequa_Martin-Green,33,U.S.,Alabama,Russellville,American,['University of Alabama'],,F,"['Actress', 'producer']",
Caitriona Balfe,https://en.wikipedia.org/wiki/Caitriona_Balfe,39,U.K.,Dublin, ,British,,,F,"['Actress', 'model']",
Jessica Biel,https://en.wikipedia.org/wiki/Jessica_Biel,36,U.S. ,Minnesota,Ely,American,['Tufts University'],['Fairview High School'],F,"['Actress', 'model', 'producer', 'singer']",
Emma Stone,https://en.wikipedia.org/wiki/Emma_Stone,29,U.S.,Arizona,Scottsdale,American,,,F,['Actress'],
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,68,U.S.,California,Los Angeles,American,,,M,"['Actor', 'singer', 'producer', 'composer']",
Jeff Flake,https://en.wikipedia.org/wiki/Jeff_Flake,55,U.S.,Arizona, Snowflake,American,,['Brigham Young University'],M,['Congressman'],Republican
Pamela Adlon,https://en.wikipedia.org/wiki/Pamela_Adlon,52,U.S.,New York , Albany,American,,,F,"['Actress', 'screenwriter', 'producer', 'director']",
Bobby Moynihan,https://en.wikipedia.org/wiki/Bobby_Moynihan,41,U.S.,New York, ,American,['University of Connecticut'],,M,['Actor'],
Sterling K. Brown,https://en.wikipedia.org/wiki/Sterling_K._Brown,42,U.S.,Missouri,St. Louis,American,"['Stanford University', 'New York University']",,M,['Actor'],
