name,wiki_link,age,country_born,state_born,city_born,nationality,gender,occupation,political_party
Dan Levy,https://en.wikipedia.org/wiki/Dan_Levy_(TV_personality),35,Canada,Ontario,Toronto,Canadian,M,Entertainment and Show Business,
Seth Rogen,https://en.wikipedia.org/wiki/Seth_Rogen,36,Canada,British Columbia,Vancouver,American,M,Entertainment and Show Business,
Eugene Levy,https://en.wikipedia.org/wiki/Eugene_Levy,71,Canada,Ontario,Hamilton,Canadian,M,Entertainment and Show Business,
Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling,37,Canada,Ontario,London,Canadian,M,Entertainment and Show Business,
Will Arnett,https://en.wikipedia.org/wiki/Will_Arnett,48,Canada,Ontario,Toronto,American,M,Entertainment and Show Business,
Édgar Ramírez,https://en.wikipedia.org/wiki/%C3%89dgar_Ram%C3%ADrez,41,Venezuela,Tchira,San Cristbal,Venezuelan,M,Entertainment and Show Business,
Jimmy O. Yang,https://en.wikipedia.org/wiki/Jimmy_O._Yang,31,Hong Kong,,,American,M,Entertainment and Show Business,
Christoph Waltz,https://en.wikipedia.org/wiki/Christoph_Waltz,62,Austria,Vienna,,Austrian,M,Entertainment and Show Business,
Parker Sawyers,https://en.wikipedia.org/wiki/Parker_Sawyers,34,,,,American,M,Entertainment and Show Business,
Andy Daly,https://en.wikipedia.org/wiki/Andy_Daly,47,U.S.,New York,Mount Kisco,American,M,Entertainment and Show Business,
Denée Benton,https://en.wikipedia.org/wiki/Den%C3%A9e_Benton,25,U.S.,Florida,,American,M,Entertainment and Show Business,
Chadwick Boseman,https://en.wikipedia.org/wiki/Chadwick_Boseman,40,U.S.,South Carolina,Anderson,American,M,Entertainment and Show Business,
Eric Stonestreet,https://en.wikipedia.org/wiki/Eric_Stonestreet,47,U.S.,Kansas,Kansas City,American,M,Entertainment and Show Business,
Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,57,U.S.,North Carolina,Fort Bragg,American,F,Entertainment and Show Business,
Logan Lerman,https://en.wikipedia.org/wiki/Logan_Lerman,26,U.S.,California,Beverly Hills,American,M,Entertainment and Show Business,
David Boreanaz,https://en.wikipedia.org/wiki/David_Boreanaz,49,U.S.,New York,Buffalo,American,M,Entertainment and Show Business,
Dennis Quaid,https://en.wikipedia.org/wiki/Dennis_Quaid,64,U.S.,Texas,Houston,American,M,Entertainment and Show Business,
Omari Hardwick,https://en.wikipedia.org/wiki/Omari_Hardwick,44,U.S.,Georgia,Savannah,American,M,Entertainment and Show Business,
Tituss Burgess,https://en.wikipedia.org/wiki/Tituss_Burgess,39,U.S.,Georgia,Athens,American,M,Entertainment and Show Business,
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,34,U.S.,California,San Diego,American,M,Entertainment and Show Business,
John Hodgman,https://en.wikipedia.org/wiki/John_Hodgman,47,U.S.,Massachusetts,Brookline,American,M,Entertainment and Show Business,
Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,51,U.S.,Connecticut,New Haven,American,M,Entertainment and Show Business,
Ron Howard,https://en.wikipedia.org/wiki/Ron_Howard,64,U.S.,Oklahoma,Duncan,American,M,Entertainment and Show Business,
Tom Selleck,https://en.wikipedia.org/wiki/Tom_Selleck,73,U.S.,Michigan,Detroit,American,M,Entertainment and Show Business,
Will Ferrell,https://en.wikipedia.org/wiki/Will_Ferrell,51,U.S.,California,Irvine,American,M,Entertainment and Show Business,
Jamie Foxx,https://en.wikipedia.org/wiki/Jamie_Foxx,50,U.S.,Texas,Terrell,American,M,Entertainment and Show Business,
Eric Andre,https://en.wikipedia.org/wiki/Eric_Andre,35,U.S.,Florida,Boca Raton,American,M,Entertainment and Show Business,
Darren Criss,https://en.wikipedia.org/wiki/Darren_Criss,31,U.S.,California,San Francisco,American,M,Entertainment and Show Business,
Jon Glaser,https://en.wikipedia.org/wiki/Jon_Glaser,50,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Jordan Peele,https://en.wikipedia.org/wiki/Jordan_Peele,39,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Jessie Mueller,https://en.wikipedia.org/wiki/Jessie_Mueller,35,U.S.,Illinois,Evanston,American,F,Entertainment and Show Business,
Daveed Diggs,https://en.wikipedia.org/wiki/Daveed_Diggs,36,U.S.,California,Oakland,American,M,Entertainment and Show Business,
John Krasinski,https://en.wikipedia.org/wiki/John_Krasinski,39,U.S.,Massachusetts,Boston,American,M,Entertainment and Show Business,
Brian Huskey,https://en.wikipedia.org/wiki/Brian_Huskey,50,U.S.,North Carolina,Charlotte,American,M,Entertainment and Show Business,
Chris Pine,https://en.wikipedia.org/wiki/Chris_Pine,38,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Paul Rudd,https://en.wikipedia.org/wiki/Paul_Rudd,49,U.S.,New Jersey,Passaic,American,M,Entertainment and Show Business,
Josh Duhamel,https://en.wikipedia.org/wiki/Josh_Duhamel,45,U.S.,North Dakota,Minot,American,M,Entertainment and Show Business,
T. J. Miller,https://en.wikipedia.org/wiki/T._J._Miller,37,U.S.,Colorado,Denver,American,M,Entertainment and Show Business,
Joe Manganiello,https://en.wikipedia.org/wiki/Joe_Manganiello,41,U.S.,Pennsylvania,Mt. Lebanon,American,M,Entertainment and Show Business,
Christian Borle,https://en.wikipedia.org/wiki/Christian_Borle,45,U.S.,Pennsylvania,Pittsburgh,American,M,Entertainment and Show Business,
Patrick Wilson,https://en.wikipedia.org/wiki/Patrick_Wilson_(American_actor),45,U.S.,Virginia,Norfolk,American,M,Entertainment and Show Business,
